filename,year,part,line_count,total_tokens,total_words,total_chars,file_size_mb,tokens_per_line,words_per_token
CC-MAIN-2020-45-part-00008.jsonl,2020,8,296066,237147813,152705393,949034917,932.7918586730957,800.996443360602,0.6439249473491877
CC-MAIN-2017-22-part-00008.jsonl,2017,8,274992,232102077,151036975,928819823,911.6667098999023,844.0321063885494,0.6507351289234693
CC-MAIN-2017-43-part-00026.jsonl,2017,26,299537,236193532,154142983,945222525,929.0762825012207,788.5287360159178,0.6526130571602613
CC-MAIN-2019-26-part-00014.jsonl,2019,14,284622,232548326,150210038,930620549,914.1953964233398,817.0426952238407,0.6459304205010704
CC-MAIN-2023-06-part-00017.jsonl,2023,17,258579,239439411,155067204,958145548,939.6241359710693,925.9816574431799,0.647626066871673
CC-MAIN-2017-51-part-00004.jsonl,2017,4,314969,239163017,156248670,957124498,941.4812316894531,759.3223999822204,0.6533145130879495
CC-MAIN-2020-34-part-00011.jsonl,2020,11,291855,240165917,154634059,961101188,944.2794342041016,822.8946463140943,0.6438634629409135
CC-MAIN-2021-31-part-00004.jsonl,2021,4,258021,238753276,154551326,955399795,935.8960418701172,925.3249774243181,0.6473265145898982
CC-MAIN-2021-17-part-00010.jsonl,2021,10,239123,242408199,157048549,969990712,948.5967102050781,1013.738532052542,0.6478681399716187
CC-MAIN-2022-49-part-00006.jsonl,2022,6,261444,240269409,155312059,961469671,943.2518920898438,919.0090765135172,0.6464079619890354
CC-MAIN-2023-50-part-00056.jsonl,2023,56,226785,241377478,152028985,965850702,944.9967813491821,1064.344987543268,0.6298391476275181
CC-MAIN-2019-13-part-00015.jsonl,2019,15,292474,240235448,154569794,961379781,945.1239080429077,821.3907834542557,0.6434096020667192
CC-MAIN-2014-15-part-00007.jsonl,2014,7,323418,236578693,152955106,946797926,931.9258279800415,731.4951332331534,0.6465295080483009
CC-MAIN-2017-13-part-00017.jsonl,2017,17,290394,236679740,153626273,947154013,930.882209777832,815.0297182448674,0.6490892418590624
CC-MAIN-2022-40-part-00045.jsonl,2022,45,261458,241826244,156752056,967697033,948.8160161972046,924.9143036357656,0.6482011770401561
CC-MAIN-2015-22-part-00007.jsonl,2015,7,293542,229123854,147993680,916935553,901.2960538864136,780.5487936990278,0.6459112720755823
CC-MAIN-2018-34-part-00012.jsonl,2018,12,295436,237215765,152438816,949306306,932.4143619537354,802.9345272749428,0.6426167164732918
CC-MAIN-2021-39-part-00009.jsonl,2021,9,272819,239370015,154230528,957889109,939.7976245880127,877.3949578291835,0.6443184957815205
CC-MAIN-2021-43-part-00029.jsonl,2021,29,273310,237557630,153004713,950639749,933.0021152496338,869.1874794189748,0.6440740842548396
CC-MAIN-2017-47-part-00003.jsonl,2017,3,301713,235818368,153663353,943726417,927.9017114639282,781.5983003715452,0.6516174049682169
CC-MAIN-2023-50-part-00063.jsonl,2023,63,224528,241383816,152098571,965871909,945.0611371994019,1075.0722226181144,0.6301108894558201
CC-MAIN-2023-40-part-00066.jsonl,2023,66,224953,242095313,153181635,968718514,947.5376873016357,1076.2039759416411,0.6327327576143533
CC-MAIN-2022-40-part-00013.jsonl,2022,13,262041,241794400,156734881,967571255,948.8158807754517,922.7349918524201,0.6482155128489329
CC-MAIN-2023-14-part-00042.jsonl,2023,42,253918,241815413,156273693,967641877,948.6568155288696,952.3366322986161,0.6462519946981212
CC-MAIN-2016-26-part-00004.jsonl,2016,4,268623,208767317,134514755,835472736,821.5532026290894,777.1758821843252,0.6443286091567676
CC-MAIN-2022-33-part-00021.jsonl,2022,21,274128,242185463,156036287,969153318,951.414361000061,883.4758324578299,0.6442842814227872
CC-MAIN-2019-30-part-00007.jsonl,2019,7,295701,242480189,156356609,970363890,953.6491374969482,820.0181568543901,0.6448222002994233
CC-MAIN-2024-30-part-00025.jsonl,2024,25,220818,242047458,149761421,968521036,947.2557430267334,1096.1400701029806,0.6187275100406137
CC-MAIN-2024-26-part-00067.jsonl,2024,67,219050,241365442,149671231,965790101,944.5137252807617,1101.8737365898196,0.6201021561321939
CC-MAIN-2017-13-part-00007.jsonl,2017,7,291209,236687132,153558390,947185802,930.8826856613159,812.774096954421,0.6487821653101107
CC-MAIN-2022-21-part-00018.jsonl,2022,18,269341,241802701,156352648,967615531,949.1430530548096,897.7567507360558,0.6466124958628977
CC-MAIN-2020-10-part-00008.jsonl,2020,8,298827,242275324,156280536,969548975,952.996545791626,810.7544632847768,0.6450534599223154
CC-MAIN-2019-18-part-00002.jsonl,2019,2,289268,232657868,149906410,931065250,915.6416988372803,804.2986711285037,0.6443212571689172
CC-MAIN-2024-10-part-00081.jsonl,2024,81,219780,242528998,151547001,970445394,948.9570426940918,1103.5080444080445,0.6248613660622966
CC-MAIN-2015-22-part-00000.jsonl,2015,0,295392,229084633,147976797,916782439,901.3068571090698,775.5275464467555,0.6459481592551867
CC-MAIN-2017-51-part-00008.jsonl,2017,8,314248,239242710,156205778,957442097,941.4846181869507,761.3181627249816,0.6529176082314065
CC-MAIN-2023-40-part-00063.jsonl,2023,63,226963,242037106,152994353,968488924,947.5446519851685,1066.4165789137437,0.632111148279884
CC-MAIN-2024-22-part-00006.jsonl,2024,6,216178,242132961,150439205,968856570,947.0926294326782,1120.062915745358,0.621308244770525
CC-MAIN-2019-13-part-00008.jsonl,2019,8,295801,240151803,154435465,961050310,945.0888204574585,811.8694764385516,0.6430743516008497
CC-MAIN-2023-23-part-00032.jsonl,2023,32,242398,242263078,155723380,969414961,949.4571704864502,999.4433864965882,0.6427862689006205
CC-MAIN-2021-39-part-00033.jsonl,2021,33,270716,239381096,154256137,957930490,939.7948293685913,884.2517472184873,0.6443956501895204
CC-MAIN-2024-22-part-00083.jsonl,2024,83,217900,242126356,150396947,968831635,947.0912961959839,1111.1810738871043,0.6211506648206443
CC-MAIN-2019-30-part-00003.jsonl,2019,3,296968,242428113,156296011,970159080,953.643795967102,816.3442290078392,0.6447107518425472
CC-MAIN-2019-51-part-00006.jsonl,2019,6,277763,231691274,149393191,927181533,910.7719564437866,834.132962273593,0.6447942057584785
CC-MAIN-2018-05-part-00001.jsonl,2018,1,308570,239759359,156191896,959499235,943.5565128326416,777.0015199144441,0.6514527593477591
CC-MAIN-2016-40-part-00005.jsonl,2016,5,275377,222533763,143867214,890547928,874.5828619003296,808.1058439884231,0.6464961184339475
CC-MAIN-2017-22-part-00003.jsonl,2017,3,271491,232146378,150913480,928992613,911.6703195571899,855.0794611976088,0.6500789773252461
CC-MAIN-2013-20-part-00027.jsonl,2013,27,314435,237074249,154503031,948767123,933.1223583221436,753.9690206242943,0.6517073518178687
CC-MAIN-2020-45-part-00019.jsonl,2020,19,294642,237212516,152909252,949292342,932.8009977340698,805.0872448598639,0.6446087018443832
CC-MAIN-2021-10-part-00009.jsonl,2021,9,248248,237443527,153707037,950146453,930.2180089950562,956.4770995133898,0.647341449741858
